"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Hobbs, NM",497,,,,,,,,,,,,,,,,,,,,,,,,,,,167500,179000,172500,166400,165000,159900,169900,169900,167250,177450,184450,194250,182700,190000,192950,197000,185000,178250,180400,173450,187000,185000,179900,179900,189500,187500,194900,184900,179000,179450,179400,175000,165000,164900,172250,152000,176850,191250,176750,169450,165000,174250,177000,169900,179500,172000,169900,170000,176500,169950,169900,167250,169900,169500,169500,169900,169900,164950,165000,159250,160000,162000,163500,165000,169950,169950
"Clearlake, CA",498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,199950,199000,195250,214900,218950,229500,229000,229250,239000,237000,235000,225000,225000,222500,225000,229000,235000,249000,255000,249900,249000,252000,254900,250000,249000,240000,239110,249900,259000,259900,259000,249250,249500,249000,250000,249900,239000,239900,239000,248500,255000,259900,260000,265000,265000
"Nacogdoches, TX",499,,,,,,,,,,,,,,,,,,,,,,,,,149725,149900,153900,174450,166750,174900,164250,152500,139825,144900,144950,142500,149900,150000,159950,155000,145000,149950,159000,159450,164900,164900,154900,149900,139000,149700,154000,156700,177500,175000,169900,169900,165000,159900,159900,149450,150000,156500,159000,164950,169950,169700,170950,167000,179250,169900,179700,179500,182450,198500,191850,169900,188450,196500,198000,197750,191950,197000,199900,199900,194000,195000,189250,199500,199500,190000,199900,179900
"Hutchinson, KS",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,99500,94700,1e+05,103000,99450,94500,98700,91450,91950,94900,96625,95000,97000,107400,114950,109800,117900,115000,105000,105000,104900,105000,104900,1e+05,104900,102450,105000,114900,119950,114900,116250,119900,120000,119950,113950,109900,110000,103950,101500,94850,99150,97000,99850,99900,99850,102900,105000,95000,98750,95250,94000,104900,110000,112000,109900,105000
"Faribault, MN",501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000,169900,169900,183700,189900,199900,199900,199900,193450,199900,189900,179900,179000,179900,184100,184500,191250,199950,199900,199900,209000,199949.5,199900,193900,188400,189900,199900,203950,210000,213441.5,215000,215000,224900,224900,224900,219400,225000,229900,239900,234900,237350,229900,240000,239900,239900,231950
"Elizabeth City, NC",502,199900,199500,195000,195000,193000,189900,189900,182000,179900,179500,179900,179000,175000,176950,175000,175000,179900,179000,179900,179900,175000,169900,169900,164950,163700,164900,162500,159000,155000,145500,143100,140000,149000,159500,174900,175000,174950,184400,179900,185000,183900,179900,179700,179900,177450,173400,169900,175000,175000,177000,179990,179900,179000,175000,175000,168700,170000,165000,170000,175000,182500,179900,175000,185000,179000,175000,175000,174900,170000,175000,177500,175000,177900,186000,192500,199500,199000,197200,198250,189900,189900,189700,188000,189000,189900,190000,195000,205000,207900,210000,209000,209000
"Ionia, MI",503,99900,109950,99900,99900,99900,99900,99900,99900,94900,94850,89900,89400,85900,84900,84900,85000,88150,89450,79900,79900,80000,79900,79900,77950,79500,77400,75000,80960,85000,89000,89900,89900,84900,79900,89900,89900,94900,94900,99000,104900,109900,109950,109400,109900,109900,99900,99900,99900,99900,99900,109950,117950,123700,124900,121900,124900,125900,123400,119900,119900,116000,115000,115450,115950,119900,119900,117750,114950,112000,112000,115000,114900,119900,119000,114950,134900,135900,134950,126950,121500,119900,119450,118250,115000,114900,119450,119900,128499.5,139900,139900,139900,139000
"Alamogordo, NM",504,150000,150900,150000,159000,159500,158500,159900,154900,158500,154900,159500,156200,159500,154950,159900,154900,159900,160000,148000,145900,148500,148500,149900,150000,150000,159900,159900,160000,159500,157000,158750,155500,156000,159500,154950,149900,149900,149900,149900,149900,155950,149900,149900,149900,149900,149000,149900,149900,149900,150000,149999,150000,155000,149900,149900,149500,149800,149500,149500,149500,147500,149500,148500,147000,149500,149500,149900,149200,149500,148000,145000,148000,150000,154900,154900,158250,159500,159900,165000,165000,164900,164500,159950,159900,159500,159500,159900,159700,160000,164000,160000,160000
"Red Bluff, CA",505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,210000,198000,209900,208000,208500,199000,198450,199000,195000,190000,192900,183000,174450,199000,212400,212450,219450,223450,220000,193500,204000,206950,209450,219000,216990,219375,212450,203000,219900,223000,219900,219000,215000,219000,224400,218000,224000,225000,229000,239000,229000,214900,234900,236000,224900
"Hudson, NY",506,258900,258950,259000,249900,256950,259000,255000,255000,255000,259000,259900,265000,259000,269000,269500,259000,269000,279000,275000,266450,264900,259700,259500,255000,259000,257000,249925,259900,259900,268500,265000,259000,260000,260000,259000,259000,259000,259250,269000,274000,274000,275000,269900,274000,274900,269000,259000,254500,249900,249000,249000,249900,259000,259900,262450,250000,259900,268500,275000,279000,278250,275000,280000,294900,285000,285000,279000,274900,272000,275000,277000,272250,275000,269900,269900,275000,289000,299000,295000,295000,289950,285000,295000,295000,295000,289000,295000,289000,295000,298500,299000,299000
"Somerset, KY",507,145900,149900,149900,149900,149900,149900,149900,149950,154900,154900,159000,160000,154900,149900,158000,153450,154900,149900,149000,145450,145000,144900,139900,139900,139900,143900,144950,144900,143950,144900,142900,144500,142399.5,139900,139650,139900,139000,135000,139949.5,145900,147400,147450,149900,139950,145900,145000,139900,139900,138250,142200,147000,149900,149000,149900,149900,149700,149900,149000,147000,147900,145000,147500,140750,147500,155900,159900,159900,159900,159900,158900,149900,143000,139900,139900,149900,149900,150000,159000,159900,159900,159900,159900,159900,159900,159900,159500,155000,157500,159900,159900,154900,159900
"Coos Bay, OR",508,199900,195000,189900,190000,189000,195000,199000,199000,194900,189900,187900,180000,175000,169000,174700,162800,162000,164950,167250,169000,172450,171500,169700,165000,165000,159925,165000,169000,169250,169000,169000,170000,174900,172500,176000,179497.5,179000,185000,185250,190000,192900,190000,189999.5,190000,197750,190000,195000,192500,193250,194000,189000,199000,2e+05,209900,205000,219000,225000,219000,214000,202500,199900,208000,215000,215000,215000,218900,215000,209000,207000,205000,214000,205000,214500,215000,215000,219700,219900,225000,225000,225000,220000,220000,225000,224900,220000,212900,214450,225000,230000,239900,249000,249000
"Walla Walla, WA",509,214350,215500,208850,202225,214950,210000,207000,204950,203327.5,210200,199900,2e+05,211300,199900,213950,199950,199900,2e+05,199900,199900,199000,198000,198000,194450,194000,199000,199500,209900,210000,199000,199000,198500,199999,199000,199949.5,199900,197700,190000,191250,196000,194900,194500,194990,199000,189900,186400,189500,188500,184900,181499.5,189000,189000,189900,194995,196000,199990,199900,199000,199900,197000,197245,199000,199000,205000,209000,210000,218000,216500,224900,219000,217990,218500,214244,210000,212500,229000,228500,230000,239900,238000,229000,229000,220000,214950,219000,219000,219500,219900,234700,244900,239000,235000
"Sayre, PA",510,139000,139900,146900,139900,139900,139900,149500,144950,149900,149900,144900,145000,149900,149900,149900,149900,165750,164900,169900,164900,169200,169900,170000,174900,179000,176750,179500,174949.5,174900,169000,173900,171400,169450,164900,169000,164900,161500,159900,159450,159000,159000,155000,159000,159000,155000,152950,150000,151250,150000,152750,157200,150000,153000,154900,154900,155000,154900,150000,149950,150000,150000,149900,150000,150000,154900,154900,159950,159900,159000,159900,159900,159900,159250,150000,150000,158000,155900,156250,149900,148950,149000,148700,142900,142900,139900,139900,139900,144900,149000,146900,139500,139500
"Oneonta, NY",511,169900,169900,175000,169900,169900,165000,165000,165000,159000,159900,157750,157750,160000,164900,168450,169000,164950,159950,164900,159900,159700,159900,164900,160000,165000,160000,159900,164970,159900,159900,158500,157450,164000,159000,159900,159000,159450,159000,165000,159000,159000,159900,159900,165000,164950,157500,159900,158450,149900,154900,157000,168000,169450,165900,165000,159500,159900,159000,149900,149000,149000,149000,149900,149500,149900,152000,149900,153900,149850,149900,149000,149250,149000,149625,149900,149900,153900,155000,150000,149900,150000,149900,149000,145000,139900,139900,139900,144900,147000,147000,148900,149900
"Fort Madison, IA",512,99500,99500,96000,99250,95000,95500,89500,97500,97700,101200,97500,90950,101450,106500,89900,88500,87750,87500,103000,94000,87950,89500,89900,89945,89945,91500,98750,90000,88450,88000,84900,88500,90000,89500,89500,87000,91450,89900,94900,95000,89900,91500,89950,89900,94500,89150,79950,85000,82900,85250,92000,92000,90000,89700,89700,92500,89900,92500,86250,85000,86450,87500,90000,97500,112250,119450,124900,125000,123900,128000,122000,121900,120000,120000,128250,125900,138250,135000,117000,104450,99900,99900,99500,95000,92500,93500,95000,95000,95000,99000,99900,98500
"Baraboo, WI",513,181400,185000,179950,179900,178500,175000,179900,183949,179900,174700,169900,169900,169900,169900,167750,164900,164900,165000,164450,164950,169900,168900,169900,154900,139900,139900,143950,148000,144900,144900,139900,148800,148000,149900,159900,158500,154900,149900,154900,159500,159900,164900,165000,166700,165000,165000,162500,163900,165000,167500,169900,169900,169900,165000,163000,169000,169000,169000,169500,167500,169000,168000,164700,164900,164000,165900,167500,164900,164950,164900,170850,173700,177450,179900,178000,175000,179900,179950,184900,179900,179900,185900,189900,189900,195900,189900,197000,189950,195000,199900,199900,199000
"Marietta, OH",514,123500,129900,139000,129900,129900,134900,139900,139900,144900,139900,129900,129500,121500,135500,139900,137500,134400,129900,129900,130000,139900,133700,141250,129900,129000,129950,138500,139900,146200,139900,134700,139000,140000,139900,150000,144450,139900,129450,128000,136900,146950,149900,149950,144950,139900,138000,137500,136250,144000,147450,145000,149000,159000,149000,149000,152900,149900,149900,149000,149000,147000,149000,149950,168000,165000,165000,160000,159000,159000,159700,165000,165000,159339,158750,157750,157500,152500,154900,150000,150000,149900,150000,155000,157500,164900,163000,159900,160000,165000,162750,156500,154900
"Salina, KS",515,129000,127900,124900,123250,125950,124900,120000,120000,119900,117450,117000,107900,109900,109900,107000,104900,115000,119750,119900,119900,118500,113900,99900,103000,109900,108000,116900,120000,126000,120000,114900,109000,109900,107500,111050,110000,114950,117250,119900,119500,121200,124900,124900,128000,126450,120000,129000,129900,128000,135000,134900,134700,129999,129700,128200,126700,125000,120000,125000,125000,124900,129150,134900,134900,139450,139000,132900,128700,124900,124950,115900,118000,117250,117250,119900,129000,132175,131450,130000,132000,139950,137250,134900,130000,129900,134900,139700,129900,139450,137000,135000,134950
